Celltype	ID	Symbol
Blood1	ENSMUSG00000028825 	Rhd
Blood1	ENSMUSG00000028332 	Hemgn
Blood1	ENSMUSG00000052187 	Hbb-y
Blood1	ENSMUSG00000069917 	Hba-a2
Blood1	ENSMUSG00000052217 	Hbb-bh1
Blood1	ENSMUSG00000069919 	Hba-a1
Blood1	ENSMUSG00000055609	Hba-x
Blood2	ENSMUSG00000051839	Gypa
Blood2	ENSMUSG00000078350 	Smim1
Blood2	ENSMUSG00000054191 	Klf1
Blood2	ENSMUSG00000006574 	Slc4a1
Blood3	ENSMUSG00000028332 	Hemgn
Blood3	ENSMUSG00000051839	Gypa
Blood3	ENSMUSG00000031762 	Mt2
Blood3	ENSMUSG00000054191 	Klf1
Blood3	ENSMUSG00000040466 	Blvrb
Blood3	ENSMUSG00000052217 	Hbb-bh1
Blood3	ENSMUSG00000055609	Hba-x
Endothelial	ENSMUSG00000020717 	Pecam1
Endothelial	ENSMUSG00000031871	Cdh5
Endothelial	ENSMUSG00000016494	Cd34
Endothelial	ENSMUSG00000001946	Esam
Endothelial	ENSMUSG00000029648 	Flt1
Endothelial	ENSMUSG00000062960	Kdr
Endothelial	ENSMUSG00000041378	Cldn5
Gut	ENSMUSG00000000303 	Cdh1
Gut	ENSMUSG00000045394	Epcam
Gut	ENSMUSG00000047281	Sfn
Gut	ENSMUSG00000033227 	Wnt6
Gut	ENSMUSG00000036856 	Wnt4
Gut	ENSMUSG00000025856 	Pdgfa
Notochord	ENSMUSG00000068302	Noto
Notochord	ENSMUSG00000002633 	Shh
Notochord	ENSMUSG00000037025 	Foxa2
Notochord	ENSMUSG00000054196 	Cthrc1
Notochord	ENSMUSG00000000567 	Sox9
Notochord	ENSMUSG00000062327	T
NMPs	ENSMUSG00000074637	Sox2
NMPs	ENSMUSG00000062327	T
NMPs	ENSMUSG00000025219 	Fgf8
NMPs	ENSMUSG00000001566 	Mnx1
NMPs	ENSMUSG00000048528	Nkx1-2
Early Mesoderm	ENSMUSG00000062327	T
Early Mesoderm	ENSMUSG00000030699	Tbx6
Early Mesoderm	ENSMUSG00000047002 	Msgn1
Early Mesoderm	ENSMUSG00000029859 	Epha1
Early Mesoderm	ENSMUSG00000024987 	Cyp26a1
Early Mesoderm	ENSMUSG00000014773 	Dll1
Early Mesoderm	ENSMUSG00000022101	Fgf17
Early Mesoderm	ENSMUSG00000009900 	Wnt3a
Early Mesoderm	ENSMUSG00000030170 	Wnt5b
Early Mesoderm	ENSMUSG00000051159 	Cited1
Early Mesoderm	ENSMUSG00000042821 	Snai1
Presomitic mesoderm	ENSMUSG00000013584 	Aldh1a2
Presomitic mesoderm	ENSMUSG00000001493 	Meox1
Presomitic mesoderm	ENSMUSG00000051323	Pcdh19
Presomitic mesoderm	ENSMUSG00000014773	Dll1
Presomitic mesoderm	ENSMUSG00000030699	Tbx6
Presomitic mesoderm	ENSMUSG00000051159 	Cited1
Unsegmented Mesenchyme	ENSMUSG00000021567 	Nkd2
Unsegmented Mesenchyme	ENSMUSG00000047786 	Lix1
Unsegmented Mesenchyme	ENSMUSG00000025196 	Cpn1
Unsegmented Mesenchyme	ENSMUSG00000033227 	Wnt6
Unsegmented Mesenchyme	ENSMUSG00000051323	Pcdh19
Unsegmented Mesenchyme	ENSMUSG00000029922 	Mkr1
Unsegmented Mesenchyme	ENSMUSG00000032291 	Crabp1
Unsegmented Mesenchyme	ENSMUSG00000050295 	Foxc1
Neural Tube	ENSMUSG00000074637	Sox2
Neural Tube	ENSMUSG00000048528	Nkx1-2
Neural Tube	ENSMUSG00000049604 	Hobx13
Neural Tube	ENSMUSG00000096014 	Sox1
Neural Tube	ENSMUSG00000027168 	Pax6
Neural Tube	ENSMUSG00000027967 	Ngn2
Neural Tube	ENSMUSG00000045591 	Olig3
Surface Ectoderm	ENSMUSG00000047281	Sfn
Surface Ectoderm	ENSMUSG00000051397	Tacstd2
Surface Ectoderm	ENSMUSG00000021359	Tfap2a
Surface Ectoderm	ENSMUSG00000028640	Tfap2c
Surface Ectoderm	ENSMUSG00000029755	Dlx5
